title,make,model,year,condition,transmission,price
Mercedes-Benz M Class 2015 Silver,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 29,109,375"
Toyota Camry 2013,Toyota,Camry,2013,local used,automatic,"₦ 8,650,000"
Mercedes-Benz C43 4Matic Sedan AWD (3.0L V6 9AM) 2017 Silver,Mercedes-Benz,C43 4Matic,2017,local used,automatic,"₦ 19,500,000"
Mercedes-Benz E350 Base 4Matic Wagon AWD (3.5L 6cyl 7A) 2015 White,Mercedes-Benz,E350 Base,2015,foreign used,automatic,"₦ 21,500,000"
Toyota Land Cruiser 3.5 Petrol 4WD 2022 Black,Toyota,Land Cruiser,2022,foreign used,automatic,"₦ 378,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 4A) 2004,Toyota,Camry LE,2004,foreign used,automatic,"₦ 7,000,000"
Mercedes-Benz G-Class 2004 Black,Mercedes-Benz,G-Class,2004,local used,automatic,"₦ 31,500,000"
Lexus LX 600 2024 Gray,Lexus,LX 600,2024,local used,automatic,"₦ 235,000,000"
Lexus RX 2014 White,Lexus,RX,2014,foreign used,automatic,"₦ 22,200,000"
Toyota RAV4 2004 White,Toyota,RAV4,2004,local used,automatic,"₦ 4,500,000"
Toyota Venza 2010 Black,Toyota,Venza,2010,foreign used,automatic,"₦ 15,000,000"
BMW X1 xDrive28i AWD 2018 White,BMW,X1 xDrive28i,2018,foreign used,automatic,"₦ 24,000,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014 Silver,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 23,500,000"
Toyota Camry 2002 Silver,Toyota,Camry,2002,local used,automatic,"₦ 2,200,000"
Toyota Carina E 1.6 Wagon 1998 Red,Toyota,Carina E,1998,local used,manual,"₦ 4,200,000"
Honda Pilot 2007 Gray,Honda,Pilot,2007,local used,automatic,"₦ 3,500,000"
Lexus IS 200t 2016 Gray,Lexus,IS 200t,2016,foreign used,automatic,"₦ 18,200,000"
Lexus RX 350 2010 White,Lexus,RX 350,2010,foreign used,automatic,"₦ 19,500,000"
Honda Accord 2004 Silver,Honda,Accord,2004,local used,automatic,"₦ 2,600,000"
Toyota Camry 2008 Blue,Toyota,Camry,2008,local used,automatic,"₦ 7,500,000"
Honda Accord 2018 Gray,Honda,Accord,2018,foreign used,automatic,"₦ 19,000,000"
Lexus RX 350 2011 Gray,Lexus,RX 350,2011,local used,automatic,"₦ 13,500,000"
Toyota Venza 2014 Silver,Toyota,Venza,2014,local used,automatic,"₦ 14,500,000"
Honda Accord 2018 Black,Honda,Accord,2018,local used,automatic,"₦ 13,500,000"
Toyota Hilux 1998 White,Toyota,Hilux,1998,foreign used,manual,"₦ 19,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2013 Black,Toyota,Corolla LE,2013,foreign used,automatic,"₦ 11,500,000"
Toyota RAV4 2015 Gray,Toyota,RAV4,2015,foreign used,automatic,"₦ 16,500,000"
Honda Civic 2005 Gold,Honda,Civic,2005,local used,automatic,"₦ 2,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Silver,Toyota,Camry SE,2013,local used,automatic,"₦ 9,600,000"
Toyota Venza V6 2011 Silver,Toyota,Venza V6,2011,local used,automatic,"₦ 12,500,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Black,Mercedes-Benz,GLE-Class AMG,2017,local used,automatic,"₦ 47,000,000"
Nissan Altima 2009 Blue,Nissan,Altima,2009,local used,automatic,"₦ 4,200,000"
Daihatsu Atrai 2007 Black,Daihatsu,Atrai,2007,foreign used,automatic,"₦ 5,000,000"
Ford Edge 2017 Blue,Ford,Edge,2017,foreign used,automatic,"₦ 13,000,000"
Toyota Camry 2011 Black,Toyota,Camry,2011,foreign used,automatic,"₦ 14,175,000"
Lexus RX 350 AWD 2008 Gold,Lexus,RX 350,2008,local used,automatic,"₦ 9,500,000"
Nissan Rogue 2008 Black,Nissan,Rogue,2008,local used,automatic,"₦ 5,000,000"
Hyundai Elantra 2013 Blue,Hyundai,Elantra,2013,local used,automatic,"₦ 8,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2012 Gray,Toyota,Camry LE,2012,local used,automatic,"₦ 9,400,000"
Toyota Camry 2004 Blue,Toyota,Camry,2004,local used,automatic,"₦ 4,500,000"
Lexus ES 350 2009 Silver,Lexus,ES 350,2009,foreign used,automatic,"₦ 13,000,000"
Toyota Camry 2002 Gold,Toyota,Camry,2002,local used,automatic,"₦ 2,300,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,"₦ 12,000,000"
Toyota Sienna 2006 Gold,Toyota,Sienna,2006,foreign used,automatic,"₦ 8,000,000"
Honda Accord 2004 Black,Honda,Accord,2004,local used,automatic,"₦ 2,900,000"
